Step,long_run - actor/entropy_loss,long_run - actor/entropy_loss__MIN,long_run - actor/entropy_loss__MAX
1,0.16018580409581773,0.16018580409581773,0.16018580409581773
2,0.1525630483229179,0.1525630483229179,0.1525630483229179
3,0.16464103930047713,0.16464103930047713,0.16464103930047713
4,0.16174158378271386,0.16174158378271386,0.16174158378271386
5,0.16113104607211426,0.16113104607211426,0.16113104607211426
6,0.15787224256200716,0.15787224256200716,0.15787224256200716
7,0.15616611021687277,0.15616611021687277,0.15616611021687277
8,0.15735620050691068,0.15735620050691068,0.15735620050691068
9,0.15500235528452322,0.15500235528452322,0.15500235528452322
10,0.16457644302863628,0.16457644302863628,0.16457644302863628
11,0.1675608783843927,0.1675608783843927,0.1675608783843927
12,0.17081627959851176,0.17081627959851176,0.17081627959851176
13,0.15111679036635906,0.15111679036635906,0.15111679036635906
14,0.17594361666124314,0.17594361666124314,0.17594361666124314
15,0.17588974977843463,0.17588974977843463,0.17588974977843463
16,0.1381851678888779,0.1381851678888779,0.1381851678888779
17,0.13384203682653606,0.13384203682653606,0.13384203682653606
18,0.14121005378547125,0.14121005378547125,0.14121005378547125
19,0.1431862802710384,0.1431862802710384,0.1431862802710384
20,0.13513288833200932,0.13513288833200932,0.13513288833200932
21,0.13351247424725443,0.13351247424725443,0.13351247424725443
22,0.13599511340726167,0.13599511340726167,0.13599511340726167
23,0.13508119626203552,0.13508119626203552,0.13508119626203552
24,0.1518245209590532,0.1518245209590532,0.1518245209590532
25,0.140540748659987,0.140540748659987,0.140540748659987
26,0.1188840692047961,0.1188840692047961,0.1188840692047961
27,0.11799907666863874,0.11799907666863874,0.11799907666863874
28,0.12278967490419745,0.12278967490419745,0.12278967490419745
29,0.11674084595870227,0.11674084595870227,0.11674084595870227
30,0.12222934258170426,0.12222934258170426,0.12222934258170426
31,0.1072876135003753,0.1072876135003753,0.1072876135003753
32,0.12019528384553269,0.12019528384553269,0.12019528384553269
33,0.12056442582979798,0.12056442582979798,0.12056442582979798
34,0.1410740932333283,0.1410740932333283,0.1410740932333283
35,0.11750614270567894,0.11750614270567894,0.11750614270567894
36,0.15302655153209344,0.15302655153209344,0.15302655153209344
37,0.13979609723901376,0.13979609723901376,0.13979609723901376
38,0.12058511551003903,0.12058511551003903,0.12058511551003903
39,0.11611314554465935,0.11611314554465935,0.11611314554465935
40,0.13823876302922145,0.13823876302922145,0.13823876302922145
41,0.12105003831675276,0.12105003831675276,0.12105003831675276
42,0.18169205449521542,0.18169205449521542,0.18169205449521542
43,0.1539257345139049,0.1539257345139049,0.1539257345139049
44,0.15298746718326584,0.15298746718326584,0.15298746718326584
45,0.11980671330820769,0.11980671330820769,0.11980671330820769
46,0.12664528778987005,0.12664528778987005,0.12664528778987005
47,0.1265318655059673,0.1265318655059673,0.1265318655059673
48,0.12763183191418648,0.12763183191418648,0.12763183191418648
49,0.13354902452556416,0.13354902452556416,0.13354902452556416
50,0.1458530763629824,0.1458530763629824,0.1458530763629824
51,0.12190330459270626,0.12190330459270626,0.12190330459270626
52,0.12641286075813696,0.12641286075813696,0.12641286075813696
53,0.1216008331393823,0.1216008331393823,0.1216008331393823
54,0.1229217293439433,0.1229217293439433,0.1229217293439433
55,0.11329584871418774,0.11329584871418774,0.11329584871418774
56,0.11344281924539246,0.11344281924539246,0.11344281924539246
57,0.11586924834409729,0.11586924834409729,0.11586924834409729
58,0.11784471632563509,0.11784471632563509,0.11784471632563509
59,0.11293306323932484,0.11293306323932484,0.11293306323932484
60,0.1389776334981434,0.1389776334981434,0.1389776334981434
61,0.10426914403797127,0.10426914403797127,0.10426914403797127
62,0.09666353407374118,0.09666353407374118,0.09666353407374118
63,0.09485067595960572,0.09485067595960572,0.09485067595960572
64,0.09453954745549709,0.09453954745549709,0.09453954745549709
65,0.09142074448755011,0.09142074448755011,0.09142074448755011
66,0.1129371565184556,0.1129371565184556,0.1129371565184556
67,0.13765629346016794,0.13765629346016794,0.13765629346016794
68,0.09621251019416377,0.09621251019416377,0.09621251019416377
69,0.10390353947877884,0.10390353947877884,0.10390353947877884
70,0.09297119884286076,0.09297119884286076,0.09297119884286076
71,0.10114991280715913,0.10114991280715913,0.10114991280715913
72,0.12275878080981784,0.12275878080981784,0.12275878080981784
73,0.11048865006887354,0.11048865006887354,0.11048865006887354
74,0.11644480560789816,0.11644480560789816,0.11644480560789816
75,0.10204545028682332,0.10204545028682332,0.10204545028682332
76,0.11595955805387348,0.11595955805387348,0.11595955805387348
77,0.11266372539103031,0.11266372539103031,0.11266372539103031
78,0.10512895487772767,0.10512895487772767,0.10512895487772767
79,0.10030641089542769,0.10030641089542769,0.10030641089542769
80,0.10098850325448439,0.10098850325448439,0.10098850325448439
81,0.10118146816967055,0.10118146816967055,0.10118146816967055
82,0.09163001296110451,0.09163001296110451,0.09163001296110451
83,0.09865571022965014,0.09865571022965014,0.09865571022965014
84,0.0903195115388371,0.0903195115388371,0.0903195115388371
85,0.0888143457705155,0.0888143457705155,0.0888143457705155
86,0.08061996876494959,0.08061996876494959,0.08061996876494959
