Step,long_run - actor/kl_loss,long_run - actor/kl_loss__MIN,long_run - actor/kl_loss__MAX
1,0.0012391289928928018,0.0012391289928928018,0.0012391289928928018
2,0.0012630352284759283,0.0012630352284759283,0.0012630352284759283
3,0.001178335165604949,0.001178335165604949,0.001178335165604949
4,0.002072132658213377,0.002072132658213377,0.002072132658213377
5,0.010701080784201622,0.010701080784201622,0.010701080784201622
6,0.015833303332328796,0.015833303332328796,0.015833303332328796
7,0.010381302796304226,0.010381302796304226,0.010381302796304226
8,0.02630990743637085,0.02630990743637085,0.02630990743637085
9,0.031090743839740753,0.031090743839740753,0.031090743839740753
10,0.041731495410203934,0.041731495410203934,0.041731495410203934
11,0.03551837429404259,0.03551837429404259,0.03551837429404259
12,0.08447971194982529,0.08447971194982529,0.08447971194982529
13,0.10478799790143967,0.10478799790143967,0.10478799790143967
14,0.14826230704784393,0.14826230704784393,0.14826230704784393
15,0.08135096728801727,0.08135096728801727,0.08135096728801727
16,0.09231647104024887,0.09231647104024887,0.09231647104024887
17,0.08180596679449081,0.08180596679449081,0.08180596679449081
18,0.05043112859129906,0.05043112859129906,0.05043112859129906
19,0.11081759631633759,0.11081759631633759,0.11081759631633759
20,0.11316743493080139,0.11316743493080139,0.11316743493080139
21,0.1257273405790329,0.1257273405790329,0.1257273405790329
22,0.1359373778104782,0.1359373778104782,0.1359373778104782
23,0.1016511619091034,0.1016511619091034,0.1016511619091034
24,0.147367462515831,0.147367462515831,0.147367462515831
25,0.1663280576467514,0.1663280576467514,0.1663280576467514
26,0.16403943300247192,0.16403943300247192,0.16403943300247192
27,0.1629946380853653,0.1629946380853653,0.1629946380853653
28,0.16687841713428497,0.16687841713428497,0.16687841713428497
29,0.16828010976314545,0.16828010976314545,0.16828010976314545
30,0.16928990185260773,0.16928990185260773,0.16928990185260773
31,0.17787261307239532,0.17787261307239532,0.17787261307239532
32,0.1770126223564148,0.1770126223564148,0.1770126223564148
33,0.21162839233875275,0.21162839233875275,0.21162839233875275
34,0.24702753126621246,0.24702753126621246,0.24702753126621246
35,0.24091026186943054,0.24091026186943054,0.24091026186943054
36,0.28148236870765686,0.28148236870765686,0.28148236870765686
37,0.2936556339263916,0.2936556339263916,0.2936556339263916
38,0.2573759853839874,0.2573759853839874,0.2573759853839874
39,0.3338429629802704,0.3338429629802704,0.3338429629802704
40,0.7540236711502075,0.7540236711502075,0.7540236711502075
41,0.2795076072216034,0.2795076072216034,0.2795076072216034
42,0.23065024614334106,0.23065024614334106,0.23065024614334106
43,0.24843564629554749,0.24843564629554749,0.24843564629554749
44,0.27538126707077026,0.27538126707077026,0.27538126707077026
45,0.24129080772399902,0.24129080772399902,0.24129080772399902
46,0.25036120414733887,0.25036120414733887,0.25036120414733887
47,0.360121488571167,0.360121488571167,0.360121488571167
48,0.2960159182548523,0.2960159182548523,0.2960159182548523
49,0.23771217465400696,0.23771217465400696,0.23771217465400696
50,0.2477474808692932,0.2477474808692932,0.2477474808692932
51,0.2576501965522766,0.2576501965522766,0.2576501965522766
52,0.23785153031349182,0.23785153031349182,0.23785153031349182
53,0.5089325308799744,0.5089325308799744,0.5089325308799744
54,0.2712452709674835,0.2712452709674835,0.2712452709674835
55,0.2577773332595825,0.2577773332595825,0.2577773332595825
56,0.28405073285102844,0.28405073285102844,0.28405073285102844
57,0.7677355408668518,0.7677355408668518,0.7677355408668518
58,0.23464611172676086,0.23464611172676086,0.23464611172676086
59,0.22723624110221863,0.22723624110221863,0.22723624110221863
60,0.35202404856681824,0.35202404856681824,0.35202404856681824
61,0.27138903737068176,0.27138903737068176,0.27138903737068176
62,0.21728377044200897,0.21728377044200897,0.21728377044200897
63,0.38101473450660706,0.38101473450660706,0.38101473450660706
64,0.1204805076122284,0.1204805076122284,0.1204805076122284
65,0.27177736163139343,0.27177736163139343,0.27177736163139343
66,0.21411862969398499,0.21411862969398499,0.21411862969398499
67,0.18283699452877045,0.18283699452877045,0.18283699452877045
68,0.12625381350517273,0.12625381350517273,0.12625381350517273
69,0.2597835958003998,0.2597835958003998,0.2597835958003998
70,0.16696493327617645,0.16696493327617645,0.16696493327617645
71,0.2682802379131317,0.2682802379131317,0.2682802379131317
72,0.7925808429718018,0.7925808429718018,0.7925808429718018
73,0.1660337895154953,0.1660337895154953,0.1660337895154953
74,0.08946626633405685,0.08946626633405685,0.08946626633405685
75,0.25810760259628296,0.25810760259628296,0.25810760259628296
76,0.2585287392139435,0.2585287392139435,0.2585287392139435
77,0.3389717638492584,0.3389717638492584,0.3389717638492584
78,0.2916547954082489,0.2916547954082489,0.2916547954082489
79,0.26347944140434265,0.26347944140434265,0.26347944140434265
80,0.32559043169021606,0.32559043169021606,0.32559043169021606
81,0.2707730829715729,0.2707730829715729,0.2707730829715729
82,0.34329742193222046,0.34329742193222046,0.34329742193222046
83,0.7939726710319519,0.7939726710319519,0.7939726710319519
84,0.2686672806739807,0.2686672806739807,0.2686672806739807
85,0.23431900143623352,0.23431900143623352,0.23431900143623352
86,0.25886303186416626,0.25886303186416626,0.25886303186416626
