Step,long_run - critic/rewards/mean,long_run - critic/rewards/mean__MIN,long_run - critic/rewards/mean__MAX
1,-2.883593798,-2.883593798,-2.883593798
2,-2.752343893,-2.752343893,-2.752343893
3,-1.942187428,-1.942187428,-1.942187428
4,-2.203125,-2.203125,-2.203125
5,-2.259375095,-2.259375095,-2.259375095
6,-2.9609375,-2.9609375,-2.9609375
7,-3.017187595,-3.017187595,-3.017187595
8,-2.533593655,-2.533593655,-2.533593655
9,-2.532031298,-2.532031298,-2.532031298
10,-1.373437524,-1.373437524,-1.373437524
11,-1.33203125,-1.33203125,-1.33203125
12,-0.496875048,-0.496875048,-0.496875048
13,-1.829687476,-1.829687476,-1.829687476
14,-0.760156274,-0.760156274,-0.760156274
15,-0.58203131,-0.58203131,-0.58203131
16,-0.903124988,-0.903124988,-0.903124988
17,-1.505468845,-1.505468845,-1.505468845
18,-1.014843822,-1.014843822,-1.014843822
19,-0.450781286,-0.450781286,-0.450781286
20,-0.782031238,-0.782031238,-0.782031238
21,-0.668749988,-0.668749988,-0.668749988
22,-0.588281214,-0.588281214,-0.588281214
23,0.2523437738418579,0.2523437738418579,0.2523437738418579
24,0.5374999642372131,0.5374999642372131,0.5374999642372131
25,0.5367187261581421,0.5367187261581421,0.5367187261581421
26,-0.482812524,-0.482812524,-0.482812524
27,0.4773438274860382,0.4773438274860382,0.4773438274860382
28,0.41484376788139343,0.41484376788139343,0.41484376788139343
29,-0.171093762,-0.171093762,-0.171093762
30,0.2906249761581421,0.2906249761581421,0.2906249761581421
31,-0.151562512,-0.151562512,-0.151562512
32,0.09296877682209015,0.09296877682209015,0.09296877682209015
33,-0.154687494,-0.154687494,-0.154687494
34,0.9406250715255737,0.9406250715255737,0.9406250715255737
35,0.22187501192092896,0.22187501192092896,0.22187501192092896
36,1.4046872854232788,1.4046872854232788,1.4046872854232788
37,0.8062500953674316,0.8062500953674316,0.8062500953674316
38,0.3007813096046448,0.3007813096046448,0.3007813096046448
39,-0.384374976,-0.384374976,-0.384374976
40,1.373437523841858,1.373437523841858,1.373437523841858
41,-0.3515625,-0.3515625,-0.3515625
42,2.6664061546325684,2.6664061546325684,2.6664061546325684
43,0.9999999403953552,0.9999999403953552,0.9999999403953552
44,1.33984375,1.33984375,1.33984375
45,-0.126562491,-0.126562491,-0.126562491
46,-0.017187499,-0.017187499,-0.017187499
47,1.0750000476837158,1.0750000476837158,1.0750000476837158
48,0.19218748807907104,0.19218748807907104,0.19218748807907104
49,0.7093750238418579,0.7093750238418579,0.7093750238418579
50,0.9109375476837158,0.9109375476837158,0.9109375476837158
51,-0.335156262,-0.335156262,-0.335156262
52,0.7937500476837158,0.7937500476837158,0.7937500476837158
53,1.8429689407348633,1.8429689407348633,1.8429689407348633
54,-0.060937494,-0.060937494,-0.060937494
55,0.4515625238418579,0.4515625238418579,0.4515625238418579
56,0.8960937857627869,0.8960937857627869,0.8960937857627869
57,0.7890625596046448,0.7890625596046448,0.7890625596046448
58,0.4453125,0.4453125,0.4453125
59,0.7273437976837158,0.7273437976837158,0.7273437976837158
60,2.664062261581421,2.664062261581421,2.664062261581421
61,0.6390625238418579,0.6390625238418579,0.6390625238418579
62,-0.037499994,-0.037499994,-0.037499994
63,-0.616406202,-0.616406202,-0.616406202
64,-0.5859375,-0.5859375,-0.5859375
65,-1.017187476,-1.017187476,-1.017187476
66,0.71875,0.71875,0.71875
67,1.3718750476837158,1.3718750476837158,1.3718750476837158
68,-0.6171875,-0.6171875,-0.6171875
69,0.3578125238418579,0.3578125238418579,0.3578125238418579
70,-0.893750072,-0.893750072,-0.893750072
71,0.3617187440395355,0.3617187440395355,0.3617187440395355
72,0.953906238079071,0.953906238079071,0.953906238079071
73,-0.744531214,-0.744531214,-0.744531214
74,0.2539062798023224,0.2539062798023224,0.2539062798023224
75,0.2382812798023224,0.2382812798023224,0.2382812798023224
76,0.48593753576278687,0.48593753576278687,0.48593753576278687
77,0.789843738079071,0.789843738079071,0.789843738079071
78,-0.682812512,-0.682812512,-0.682812512
79,0.1078125387430191,0.1078125387430191,0.1078125387430191
80,2.174999952316284,2.174999952316284,2.174999952316284
81,0.6375000476837158,0.6375000476837158,0.6375000476837158
82,-0.412499994,-0.412499994,-0.412499994
83,0.9953124523162842,0.9953124523162842,0.9953124523162842
84,0.5414062738418579,0.5414062738418579,0.5414062738418579
85,0.8078124523162842,0.8078124523162842,0.8078124523162842
86,-0.23828125,-0.23828125,-0.23828125
